Categorie,Aliments,Mesure,Poids (g),Énergie (kcal),Énergie (kJ),Protéines (g),Glucides (g),Sucres totaux (g),Fibres alimentaires totales (g),Gras totaux (g),Gras saturés (g),Gras monoinsaturés (g),Gras polyinsaturés (g),DHA (g),EPA (g),Gras trans (g),Cholestérol (mg),Calcium (mg),Fer (mg),Sodium (mg),Potassium (mg),Magnésium (mg),Phosphore (mg),Thiamine (mg),Riboflavine (mg),Niacine (ÉN),Vitamine A (ÉAR),Bêta-carotène (mcg),Lycopène (mcg),Vitamine C (mg),Vitamine D (mcg),Vitamine E (mg),Folates (ÉFA),Vitamine B12 (mcg),Alcool (g),Caféine (mg)
Légumes et produits à base de légumes,"Cocktail de tomate et de palourdes",125mL,128,61,257,1,14,4,0.5,tr,,,,,,,10,0.2,462,114,6,14,9,163,3807,,10,6,0.04,,,
Viande et volaille,"Côtelette, longe, coupe du milieu, maigre et gras, sautée",75g,75,208,869,22,0,12,4.5,5.3,1.4,,,69,0.7,60,319,22,194,2,0.5,0.55,5,0.2,,,
Viande et volaille,"Côtes levées de dos, maigre et gras, rôties",75g,75,274,1145,21,0,20,7.9,8.9,2.6,,,85,0.9,100,251,18,147,2,0.8,0.83,2,N/D,,,
Viande et volaille,"Côtes levées, maigre et gras, mijotées et rôties",75g,75,251,1048,20,0,18,7.0,7.8,2.5,,,74,1.1,49,118,14,107,2,0.6,0.68,3,N/D,,,
Viande et volaille,"Cuisse, croupe, maigre et gras, rôtie",75g,75,189,791,22,0,11,3.9,4.8,1.0,,,72,0.8,47,281,20,204,2,0.4,0.54,2,0.2,,,
Viande et volaille,"Épaule, entière, maigre et gras, rôtie",75g,75,219,916,17,0,16,5.9,7.1,1.5,,,68,1.0,51,247,14,159,2,0.5,0.60,4,0.1,,,
Viande et volaille,"Épaule, soc, maigre et gras, rôtie",75g,75,198,828,19,0,13,5.0,5.9,1.9,,,67,1.1,50,245,18,153,2,0.6,0.92,4,0.2,,,
Viande et volaille,"Longe, bout de côtes, maigre et gras, grillée",75g,75,197,825,22,0,12,4.3,5.2,0.9,,,62,0.6,47,301,20,178,2,0.4,0.55,2,0.3,,,
Viande et volaille,"Longe, bout de côtes, maigre et gras, sautée",75g,75,199,831,20,0,13,4.8,5.6,1.4,,,55,0.5,38,323,19,177,2,0.5,0.53,2,0.2,,,
Viande et volaille,"Longe, filet, maigre, rôtie",75g,75,108,452,21,0,2,0.8,0.9,0.4,,,52,1.0,44,302,23,184,2,0.1,0.41,5,0.2,,,
Viande et volaille,"Porc haché, maigre, sauté",75g,75,175,731,19,0,11,4.1,5.0,1.3,,,60,0.9,60,278,20,166,2,0.5,0.80,5,0.2,,,
Viande et volaille,"Porc haché, mi-maigre, sauté",75g,75,224,938,18,0,16,6.0,7.3,2.2,,,66,0.8,68,275,19,164,2,0.5,0.86,5,0.2,,,
Viande et volaille,"Américain, frais, côtes, maigre et gras, cuit",75g,75,269,1126,16,0,22,9.6,9.4,1.6,,,73,1.2,55,203,15,125,,0,0.5,1.67,11,0.1,,,
Viande et volaille,"Américain, frais, épaule, entière, maigre et gras, cuit",75g,75,207,866,17,0,15,6.3,6.1,1.2,,,69,1.5,50,188,17,138,,0,0.5,1.98,16,0.1,,,
Viande et volaille,"Américain, frais, gigot, entier, maigre et gras, cuit",75g,75,194,809,19,0,12,5.2,5.2,0.9,,,70,1.5,50,235,18,143,,0,0.5,1.94,15,0.1,,,
Viande et volaille,"Américain, frais, haché, cuit",75g,75,212,888,19,0,15,6.1,6.2,1.1,,,73,1.3,61,254,18,151,,0,0.6,1.96,14,0.1,,,
Viande et volaille,"Américain, frais, jarret, maigre et gras, cuit",75g,75,182,762,21,0,10,4.2,4.3,0.7,,,80,1.6,54,193,17,125,,0,0.2,1.71,13,0.1,,,
Viande et volaille,"Américain, frais, longe, maigre et gras, cuit",75g,75,232,969,17,0,18,7.7,7.3,1.4,,,71,1.6,48,185,17,135,,0,0.5,1.66,14,0.1,,,
Viande et volaille,"Nouvelle-Zélande, congelé, côte, maigre et gras, rôti",75g,75,238,995,15,0,19,9.6,7.4,0.9,,,74,1.3,33,96,11,130,,0,0.4,1.74,1,0.1,,,
Viande et volaille,"Nouvelle-Zélande, congelé, coupes diverses, maigre et gras, cuit",75g,75,203,847,19,0,13,6.6,5.2,0.7,,,80,1.6,35,121,14,158,,0,0.5,2.03,1,0.1,,,
Viande et volaille,"Nouvelle-Zélande, congelé, épaule, entier, maigre et gras, braisé",75g,75,257,1073,22,0,18,8.6,7.0,0.9,,,92,1.6,39,113,14,150,,0,0.4,2.60,1,0.2,,,
Viande et volaille,"Nouvelle-Zélande, congelé, gigot, entier, maigre et gras, rôti",75g,75,176,734,19,0,10,5.1,4.1,0.5,,,76,1.6,33,128,15,166,,0,0.5,1.96,1,0.1,,,
Viande et volaille,"Nouvelle-Zélande, congelé, jarret, maigre et gras, braisé",75g,75,194,809,20,0,12,5.9,4.6,0.5,,,77,1.6,35,89,11,131,,0,0.3,1.83,1,0.1,,,
Viande et volaille,"Nouvelle-Zélande, congelé, longe, maigre et gras, grillé",75g,75,222,929,18,0,16,7.9,6.2,0.7,,,85,1.6,38,123,15,160,,0,0.5,1.91,1,0.1,,,
Viande et volaille,"Bernache du Canada (outarde), viande, rôtie",75g,75,150,627,23,0,6,0.7,1.9,1.1,,,72,7.4,57,291,19,232,9,0.1,,,0.37,9,N/D,,,
Viande et volaille,"Canard domestiqué, rôti",75g,75,253,1057,14,0,21,7.3,9.7,2.7,,,63,2.0,44,153,12,117,47,4.1,,,0.23,5,0.5,,,
Viande et volaille,"Canard sauvage, cuit",75g,75,128,533,23,0,3,1.0,1.4,0.4,,,N/D,7.4,40,197,23,187,12,N/D,,,N/D,N/D,N/D,,,
Viande et volaille,"Dinde hachée, cuite",75g,75,176,737,21,0,10,2.5,3.7,2.4,,,77,1.4,80,203,18,147,,0,0.8,0.25,5,0.3,,,
Viande et volaille,"Dinde, viande blanche et peau, rôtie",75g,75,143,599,21,0,4,0.9,1.2,0.6,,,58,1.1,50,215,20,157,,0,0.2,0.27,5,N/D,,,
Viande et volaille,"Dinde, viande blanche, rôtie",75g,75,116,483,21,0,2,0.7,0.9,0.5,,,55,1.0,51,231,21,165,,0,0.2,0.29,5,N/D,,,
Viande et volaille,"Dinde, viande brune et peau, rôtie",75g,75,162,677,17,0,9,2.0,2.6,1.4,,,82,1.7,60,207,17,148,,0,0.5,0.28,7,N/D,,,
Viande et volaille,"Dinde, viande brune, rôtie",75g,75,139,581,19,0,6,1.6,2.0,1.0,,,82,1.7,62,220,17,154,,0,0.2,0.29,8,N/D,,,
Viande et volaille,"Lagopède, viande, cuite",75g,75,116,483,23,0,2,N/D,,,,,,N/D,6.5,37,247,27,190,N/D,N/D,,,N/D,N/D,N/D,,,
Viande et volaille,"Oie domestiquée, viande, rôtie",75g,75,179,746,22,0,10,3.4,3.3,1.2,,,72,2.2,57,291,19,232,9,0.1,,,0.37,9,N/D,,,
Viande et volaille,"Poulet à griller, aile, viande et peau, rôtie",75g,75,218,910,20,0,15,4.1,5.7,3.1,,,63,1.0,62,138,14,113,35,0.5,,,0.22,2,0.2,,,
Viande et volaille,"Poulet à griller, haut de cuisse, viande et peau, rôti",75g,75,187,781,15,0,14,3.8,5.4,3.0,,,70,1.0,63,167,17,131,36,0.2,,,0.22,5,0.2,,,
Viande et volaille,"Poulet à griller, haut de cuisse, viande, rôti",75g,75,127,530,19,0,5,1.5,2.0,1.2,,,71,1.0,66,179,18,N/D,15,0.1,,,0.23,6,0.2,,,
Viande et volaille,"Poulet à griller, pilon, viande et peau, rôti",75g,75,161,671,16,0,10,2.8,3.8,2.3,,,68,1.0,68,172,17,131,23,0.2,,,0.24,6,0.2,,,
Viande et volaille,"Poulet à griller, pilon, viande, rôti",75g,75,127,530,19,0,5,1.4,1.7,1.3,,,70,1.0,71,185,18,N/D,14,0.2,,,0.26,7,0.2,,,
Viande et volaille,"Poulet à griller, poitrine, viande et peau, rôtie",75g,75,142,593,19,0,7,1.8,2.6,1.4,,,63,0.4,45,241,20,N/D,20,0.2,,,0.24,3,0.2,,,
Viande et volaille,"Poulet à griller, poitrine, viande, rôtie",75g,75,119,499,25,0,2,0.4,0.5,0.3,,,64,0.4,56,301,22,N/D,5,0.2,,,0.26,3,0.2,,,
Viande et volaille,"Poulet à griller, viande et peau, rôties",75g,75,179,749,20,0,10,2.8,4.0,2.2,,,66,0.9,62,167,17,137,35,0.2,,,0.23,4,0.2,,,
Viande et volaille,"Poulet à griller, viande, rôtie",75g,75,143,596,22,0,6,1.5,2.0,1.3,,,67,0.9,65,182,19,146,12,0.2,,,0.25,5,0.2,,,
Viande et volaille,"Poulet de Cornouailles, viande et peau, rôties",75g,75,195,815,17,0,14,3.8,6.0,2.7,,,98,0.7,48,184,14,110,24,0.3,,,0.21,2,0.3,,,
Viande et volaille,"Poulet haché, maigre, cuit",75g,75,153,640,16,0,9,N/D,,,,,,59,1.2,51,212,N/D,N/D,9,0.2,,,N/D,N/D,N/D,,,
Viande et volaille,"Tétras du Canada, viande, cuite",75g,75,99,414,20,0,2,N/D,,,,,,N/D,3.3,38,204,25,152,N/D,N/D,,,N/D,N/D,N/D,,,
Viande et volaille,"Autruche, intérieur de cuisse, cuite",75g,75,123,515,22,0,3,1.3,1.3,0.6,,,73,3.6,55,275,20,190,,0,N/D,4.83,12,0.2,,,
Viande et volaille,"Bison, rôti",75g,75,107,449,21,0,2,0.7,0.7,0.2,,,62,2.6,43,271,20,157,,0,N/D,2.15,6,0.3,,,
Viande et volaille,"Caribou (renne), rôti",75g,75,122,512,24,0,2,1.9,1.4,0.9,,,82,4.2,35,268,23,168,4,0.2,,,4.98,4,N/D,,,
Viande et volaille,"Castor, rôti",75g,75,95,398,20,0,1,1.6,1.4,1.0,,,88,3.6,68,255,17,135,N/D,N/D,,,6.23,8,0.3,,,
Viande et volaille,"Cheval, rôti",75g,75,131,549,21,0,5,1.4,1.6,0.6,,,51,3.8,41,284,19,185,,0,N/D,2.37,N/D,N/D,,,
Viande et volaille,"Chèvre, rôtie",75g,75,107,449,20,0,2,0.7,1.0,0.2,,,56,2.8,65,304,0,151,,0,N/D,0.89,4,0.3,,,
Viande et volaille,"Chevreuil, rôti",75g,75,119,496,23,0,2,0.9,0.7,0.5,,,84,3.4,41,251,18,170,,0,N/D,N/D,N/D,N/D,,,
Viande et volaille,"Émeu, intérieur de pilon, grillé",75g,75,117,489,24,0,2,0.5,0.6,0.3,,,68,5.5,89,234,25,230,2,N/D,,,1.80,8,0.2,,,
Viande et volaille,"Lapin, coupes diverses, rôti",75g,75,148,618,22,0,6,1.8,1.6,1.2,,,62,1.7,35,287,16,197,,0,0.1,6.23,8,N/D,,,
Viande et volaille,"Narval, peau (muktuk), crue",90g,90,119,497,20,0,4,0.6,2.7,0.3,,,N/D,0.3,91,332,14,146,126,N/D,,,N/D,N/D,N/D,,,
Viande et volaille,"Orignal, rôti",75g,75,121,505,26,0,1,0.2,0.2,0.2,,,59,3.8,38,375,23,188,,0,N/D,4.73,3,0.2,,,
Viande et volaille,"Ours, mijoté",75g,75,194,812,24,0,10,2.7,4.2,1.8,,,74,8.0,53,197,17,128,14,N/D,,,1.85,5,0.4,,,
Viande et volaille,"Phoque, viande, bouillie",75g,75,129,539,26,0,2,0.8,1.6,0.3,,,133,17.6,33,212,20,139,11,N/D,,,N/D,N/D,N/D,,,
Viande et volaille,"Coeur de boeuf, mijoté",75g,90,124,518,21,tr,4,1.1,0.8,0.7,,,159,4.8,44,164,16,191,,0,1.3,8.10,4,0.2,,,
Viande et volaille,"Foie de boeuf, sauté",75g,75,131,549,20,4,4,1.1,0.5,0.4,,,286,4.6,58,263,17,364,5808,0.5,,,62.35,195,0.4,,,
Viande et volaille,"Foie de poulet, sauté",75g,75,129,539,19,1,5,1.5,1.0,1.0,,,423,9.7,69,236,20,332,3972,N/D,,,15.85,420,0.6,,,
Viande et volaille,"Foie de veau, sauté",75g,75,145,605,21,3,5,1.6,0.9,0.8,,,364,4.5,64,265,17,362,15056,0.2,,,54.38,263,0.5,,,
Viande et volaille,"Langue de boeuf, en conserve ou marinée",75g,75,200,838,14,tr,15,7.5,6.8,,,,0,71,1.6,55,148,11,137,,,N/D,N/D,4,0.3,,,
Viande et volaille,"Ris de veau (thymus), braisé",75g,75,94,392,17,0,2,0.7,0.7,0.2,,,263,0.9,44,326,18,470,,0,N/D,2.14,15,0.1,,,
Viande et volaille,"Rognon de boeuf, mijoté",75g,75,119,496,20,0,3,0.8,0.5,0.6,,,537,4.4,71,101,9,228,,0,1.3,18.68,62,0.1,,,
Viande et volaille,"Bacon de dos, porc, grillé",2 tranches,47,87,364,11,1,4,1.3,1.9,0.4,,,27,0.4,727,183,10,139,,0,0.1,0.37,2,0.2,,,
Viande et volaille,"Bacon, porc, grillé, sauté ou rôti",3 tranches,24,130,543,9,tr,10,3.3,4.4,1.1,,,26,0.3,554,136,8,128,3,0.4,,,0.30,tr,0.1,,,
Viande et volaille,"Bacon, porc, grillé, sauté ou rôti, réduit en sodium",3 tranches,24,130,543,9,tr,10,3.3,4.4,1.1,,,26,0.3,247,136,8,128,3,0.1,,,0.30,tr,0.1,,,
Viande et volaille,"Boeuf salé, pointe de poitrine, cuit",2 tranches,56,101,422,11,1,6,2.0,2.9,0.2,,,55,1.0,653,112,7,70,,0,0.2,0.91,3,0.1,,,
Viande et volaille,"Bologne, boeuf et porc",2 tranches,56,153,640,7,3,13,4.7,5.9,1.1,,,31,0.8,549,132,6,51,14,0.6,,,0.74,3,0.2,,,
Viande et volaille,"Bologne, boeuf et porc, léger",2 tranches,56,129,539,6,1,11,4.1,5.1,0.9,,,22,0.4,620,87,7,101,,0,0.4,0.73,3,0.1,,,
Viande et volaille,"Bologne, poulet",2 tranches,56,127,531,7,4,9,3.0,2.8,2.5,,,55,0.9,492,111,8,73,,0,0.3,0.15,4,N/D,,,
Viande et volaille,"Cretons",30mL,34,193,808,5,tr,19,8.3,7.7,1.6,,,36,0.3,129,96,6,56,1,0.3,,,0.19,1,0.1,,,
Viande et volaille,"Dinde en flocons, en conserve",60mL,34,50,207,6,tr,3,0.8,0.9,0.7,,,23,0.6,229,92,7,55,,0,0.2,0.10,2,N/D,,,
Viande et volaille,"Jambon en flocons, en conserve",60mL,35,48,199,6,tr,3,0.9,1.3,0.3,,,16,0.3,367,87,5,49,,0,0.1,0.24,tr,0.1,,,
Viande et volaille,"Jambon, extra-maigre, en conserve",2 tranches,56,62,260,9,tr,2,0.8,1.2,0.2,,,21,0.5,638,151,10,125,,0,0.1,0.46,3,0.1,,,
Viande et volaille,"Jambon, maigre, en conserve",2 tranches,56,81,337,10,0,4,1.4,2.0,0.4,,,21,0.5,715,187,9,116,,0,0.2,0.45,3,0.1,,,
Viande et volaille,"Jambon, maigre, rôti",75g,75,118,493,19,1,4,1.4,1.9,0.5,,,41,0.7,995,237,17,170,,0,0.2,0.53,3,0.2,,,
Viande et volaille,"Jambon, maigre et régulier, rôti",75g,75,124,518,16,tr,6,2.0,2.8,0.8,,,43,1.1,1039,272,14,186,,0,0.2,0.51,2,0.2,,,
Viande et volaille,"Pastrami au boeuf",2 tranches,56,74,309,10,1,3,1.3,1.8,0.1,,,52,1.1,694,121,10,84,,0,0.2,0.99,4,N/D,,,
Viande et volaille,"Pâté de foie, en conserve",30mL,26,84,352,4,tr,7,2.5,3.3,0.8,,,67,1.4,184,36,3,53,261,0.2,,,0.84,16,N/D,,,
Viande et volaille,"Pepperoni, porc et boeuf",10 tranches,54,252,1053,11,2,22,8.7,10.3,1.4,,,64,0.8,966,170,10,95,,0,0,0.85,3,N/D,,,
Viande et volaille,"Porc, salé, épaule, soc roulé (toupie), maigre et gras, rôti",2 tranches,56,69,291,9,1,3,1.0,1.3,0.3,,,38,0.5,642,152,7,87,,0,0.1,0.59,2,0.2,,,
Viande et volaille,"Poulet en flocons, en conserve",60mL,52,89,372,9,tr,5,1.5,2.1,1.2,,,32,0.8,374,135,6,58,18,0.2,,,0.15,2,N/D,,,
Viande et volaille,"Salami, boeuf et porc",2 tranches,46,118,495,6,2,9,3.7,4.2,0.9,,,30,1.2,490,105,7,53,,0,0.2,1.68,1,0.1,,,
Viande et volaille,"Salami, boeuf et porc, sec",5 tranches,50,185,774,12,1,15,5.1,7.2,1.4,,,40,0.8,900,194,9,71,,0,0.4,0.95,1,0.1,,,
Viande et volaille,"Salami, porc et boeuf, moins de sel",2 tranches,46,182,762,7,7,14,4.9,6.1,1.4,,,41,0.7,287,631,14,125,tr,0.4,,,0.81,4,0.1,,,
Viande et volaille,"Saucisse à la dinde, cuite",1,75,147,588,18,0,8,1.7,2.2,2.0,,,69,1.1,499,224,16,152,9,0.1,,,0.92,5,0.1,,,
Viande et volaille,"Saucisse à déjeuner au porc et boeuf, cuite",1,13,51,215,2,tr,5,1.7,2.2,0.5,,,9,0.1,105,25,2,14,,0,0.1,0.06,tr,tr,,,
Viande et volaille,"Saucisse à déjeuner au porc, cuite",1,13,35,145,2,tr,3,0.9,1.2,0.3,,,11,0.2,102,28,2,24,2,0.1,,,0.22,tr,0.1,,,
Viande et volaille,"Saucisse Bratwurst au porc, cuite",1,75,184,769,11,2,14,5.2,6.8,1.5,,,45,1.0,418,159,11,112,,0,0.8,0.71,2,tr,,,
Viande et volaille,"Saucisse fumée au boeuf",1,38,104,436,5,2,8,3.3,4.0,0.5,,,23,0.6,343,54,5,60,,0,0.3,0.65,2,0.1,,,
Viande et volaille,"Saucisse fumée au boeuf et porc",1,38,107,449,5,2,9,3.4,4.3,0.9,,,19,0.4,374,69,4,32,,0,0.3,0.49,2,0.1,,,
Viande et volaille,"Saucisse fumée au boeuf et porc, légère",1,38,58,242,4,2,4,1.4,1.8,0.4,,,17,0.5,471,56,4,53,,0,0.1,0.49,2,tr,,,
Viande et volaille,"Saucisse fumée au poulet",1,38,93,390,4,2,7,2.1,3.2,1.5,,,38,0.8,514,32,4,40,14,0.2,,,0.09,2,0.1,,,
Viande et volaille,"Saucisse italienne au porc, cuite",1,75,258,1079,14,3,20,7.2,9.0,2.5,,,43,1.1,905,228,14,128,8,0.8,,,0.98,4,0.2,,,
Viande et volaille,"Saucisse viennoise (cocktail), boeuf et porc, en conserve",3,48,110,462,5,1,9,3.4,4.6,0.6,,,42,0.4,465,48,3,24,,0,0.4,0.49,2,0.1,,,
Viande et volaille,"Saucisson de foie de porc",30mL,27,93,388,4,1,8,3.0,3.8,0.7,,,43,1.7,191,41,3,62,2248,0.2,,,3.64,8,0.1,,,
Viande et volaille,"Saucisson d'été au boeuf",2 tranches,56,188,785,9,tr,17,6.7,7.3,0.7,,,42,1.4,696,152,8,62,,0,0.5,3.08,1,N/D,,,
Viande et volaille,"Saucisson Kielbasa (Kolbassa), porc et boeuf",1 morceau,56,124,517,9,2,9,3.1,4.1,1.0,,,38,0.8,520,155,9,83,,0,0,0.90,3,0.1,,,
Viande et volaille,"Viande froide, boeuf, tranché mince",4 tranches,56,83,349,11,tr,4,1.6,1.7,0.2,,,39,1.2,791,240,11,94,,0,0,1.44,6,0.1,,,
Viande et volaille,"Viande froide, jambon extra-maigre (5% gras)",2 tranches,56,62,258,10,1,2,0.5,0.7,0.2,,,27,0.4,619,196,10,122,,0,0.1,0.42,2,0.2,,,
Viande et volaille,"Viande froide, jambon régulier (11% gras)",2 tranches,56,91,382,9,2,5,1.6,2.4,0.4,,,32,0.6,730,161,12,86,,0,0.1,0.24,4,tr,,,
Viande et volaille,"Viande froide, poitrine de dinde",2 tranches,56,63,262,8,4,2,0.1,0.3,0.2,,,31,1.2,672,195,11,88,,0,0,0.12,2,0.1,,,
Viande et volaille,"Viande froide, poitrine de poulet",2 tranches,56,75,314,8,1,4,1.4,1.6,0.8,,,22,0.2,494,181,10,68,,0,0.3,0.13,2,tr,,,
Viande et volaille,"Viande froide, poitrine de poulet, peu de gras",2 tranches,56,48,199,10,1,tr,0.1,0.1,,,,tr,25,0.7,696,177,20,143,,0,0,N/D,N/D,tr,,,
Viande et volaille,"Viande froide, simili poulet",2 tranches,56,147,616,7,2,12,7.4,N/D,1.7,,,33,N/D,536,129,N/D,N/D,,0,0.4,N/D,N/D,0.1,,,
"Légumineuses, noix et graines","Croquettes panées (genre poulet) sans viande",2,72,168,705,15,6,0,3.1,9,0.8,2.3,3.3,,,30,2.8,288,216,9,176,,,40,3.68,1.4,,,
"Légumineuses, noix et graines","Galette de soya",1,70,136,568,15,5,1,3.2,6,0.8,1.2,2.5,,,20,1.5,385,126,13,241,,,55,1.68,1.2,,,
"Légumineuses, noix et graines","Galette végétarienne",1,90,138,576,18,7,N/D,5.7,4,1.0,2.1,0.3,,,102,3.9,411,432,70,225,,,22,,N/D,,,
"Légumineuses, noix et graines","Sans-viande hachée",75g,75,148,618,16,6,1,3.5,7,1.1,1.6,3.5,,,22,1.6,413,135,14,258,,,59,1.80,1.3,,,
"Légumineuses, noix et graines","Saucisse fumée végétarienne",1,46,107,448,9,4,0,1.8,6,0.9,1.8,3.6,,,15,0.6,217,45,8,158,,,36,1.08,0.9,,,
"Légumineuses, noix et graines","Tofu, régulier, ferme et extra ferme",150g,150,189,791,21,3,1,0,11,1.3,1.8,2.7,,,234,2.4,26,222,56,182,,,29,,tr,,,
"Légumineuses, noix et graines","Tofu, soyeux, mou",150g,150,83,345,7,4,2,0.2,4,0.5,0.8,2.3,,,47,1.2,8,270,44,93,,,N/D,,tr,,,
"Légumineuses, noix et graines","Viande froide végétarienne",4 tranches,56,106,442,10,2,1,0,6,0.7,1.2,2.5,,,23,1.0,398,112,13,248,,,56,2.24,1.7,,,
"Légumineuses, noix et graines","Falafel, maison",1 boulette,17,57,237,2,5,N/D,1.3,3,0.4,1.7,0.7,,,9,0.6,50,99,14,33,,,18,,N/D,,,
"Légumineuses, noix et graines","Fèves au lard avec porc, en conserve",175mL,187,198,829,10,37,N/D,10.4,3,1.1,1.3,0.4,,,99,3.2,775,578,64,202,,,67,,N/D,,,
"Légumineuses, noix et graines","Fèves au lard nature ou végétariennes, en conserve",175mL,188,177,738,9,40,17,7.7,1,0.2,0.2,0.2,,,64,2.2,633,408,49,135,,,23,,0.3,,,
"Légumineuses, noix et graines","Fèves au lard, maison",175mL,187,283,1181,10,40,N/D,10.3,10,3.6,4.0,1.4,,,114,3.7,790,670,80,204,,,90,,N/D,,,
"Légumineuses, noix et graines","Haricots à oeil noir, en conserve, non drainé",175mL,178,137,572,8,24,N/D,5.9,1,0.3,0.1,0.4,,,36,1.7,531,305,50,124,,,91,,0.5,,,
"Légumineuses, noix et graines","Haricots blancs, en conserve, non drainé",175mL,194,227,948,14,43,N/D,9.3,1,0.1,tr,0.2,,,141,5.8,315,880,99,176,,,126,,1.6,,,
"Légumineuses, noix et graines","Haricots blancs, petits, en conserve, non drainé",175mL,194,219,917,15,40,1,9.9,1,0.2,0.1,0.4,,,91,3.6,868,558,91,260,,,120,,1.5,,,
"Légumineuses, noix et graines","Haricots de soya, bouillis",175mL,127,220,920,21,13,4,8.0,11,1.7,2.5,6.4,,,130,6.5,1,655,109,312,,,69,,0.5,,,
"Légumineuses, noix et graines","Haricots frits, en conserve",175mL,186,175,733,10,29,tr,9.9,2,0.9,1.0,0.3,,,65,3.1,557,498,62,160,,,21,,N/D,,,
"Légumineuses, noix et graines","Haricots noirs, en conserve, non drainé",175mL,178,162,676,11,29,N/D,12.2,1,0.1,tr,0.2,,,62,3.4,682,547,62,192,,,108,,1.3,,,
"Légumineuses, noix et graines","Haricots pinto, en conserve, non drainé",175mL,178,153,639,9,27,tr,8.2,1,0.3,0.3,0.5,,,76,2.6,522,431,48,163,,,107,,1.1,,,
"Légumineuses, noix et graines","Haricots rouge foncé, en conserve, non drainé",175mL,189,161,672,10,30,tr,12.1,1,0.1,0.1,0.4,,,45,2.4,646,487,53,178,,,97,,1.1,,,
"Légumineuses, noix et graines","Hoummos (hummus), commercial",60mL,57,94,394,4,8,N/D,3.4,5,0.8,2.3,2.1,,,22,1.4,215,129,40,100,,,47,,N/D,,,
"Légumineuses, noix et graines","Lentilles, bouillies, salées",175mL,146,170,710,13,29,3,6.2,1,0.1,0.1,0.3,,,28,4.9,349,540,53,264,,,265,,0.2,,,
"Légumineuses, noix et graines","Lentilles, roses, bouillies",175mL,179,190,793,14,32,N/D,5.9,1,0.2,0.3,0.6,,,22,4.1,4,317,39,161,,,112,,0.6,,,
"Légumineuses, noix et graines","Pois cassés, bouillis",175mL,145,171,715,12,31,4,4.2,1,0.1,0.1,0.2,,,20,1.9,3,525,52,144,,,94,,tr,,,
"Légumineuses, noix et graines","Pois chiches (garbanzo), en conserve, non drainé",175mL,178,211,884,9,40,N/D,7.8,2,0.2,0.5,0.9,,,57,2.4,531,305,51,160,,,119,,0.3,,,
"Légumineuses, noix et graines","Arachides, toutes variétés, écalées, rôties",60mL,37,217,906,9,8,2,3.0,18,2.6,9.1,5.8,,,20,0.8,2,244,65,133,,,54,,2.6,,,
"Légumineuses, noix et graines","Arachides, toutes variétés, écalées, rôties à l'huile, salées",60mL,37,219,915,10,6,2,2.7,19,3.2,9.5,5.6,,,22,0.6,117,265,64,145,,,44,,2.5,,,
"Légumineuses, noix et graines","Beurre d'arachide crémeux, léger",30mL,36,190,794,9,13,3,1.9,12,2.7,5.9,3.7,,,13,0.7,197,244,62,135,,,22,,2.4,,,
"Légumineuses, noix et graines","Beurre d'arachide crémeux, matières grasses, sucre et sel ajoutés",30mL,32,191,798,8,6,3,1.8,16,3.3,7.7,4.5,,,14,0.6,149,210,50,116,,,24,,2.9,,,
"Légumineuses, noix et graines","Beurre d'arachide croquant, matières grasses, sucre et sel ajoutés",30mL,32,191,799,8,7,3,2.6,16,2.6,8.0,4.8,,,15,0.6,158,242,52,103,,,30,,2.0,,,
"Légumineuses, noix et graines","Beurre d'arachide naturel",30mL,31,184,770,7,7,1,2.5,16,2.2,7.8,4.9,,,17,0.7,2,207,55,113,,,46,,2.2,,,
"Légumineuses, noix et graines","Amandes séchées",60mL,36,208,870,8,7,2,4.2,18,1.4,11.6,4.4,,,89,1.5,tr,262,99,171,,,10,,9.3,,,
"Légumineuses, noix et graines","Amandes, rôties dans l'huile",60mL,40,242,1010,8,7,2,4.2,22,1.7,13.9,5.4,,,116,1.5,tr,278,109,186,,,11,,10.3,,,
"Légumineuses, noix et graines","Amandes, rôties, salées",60mL,35,209,874,8,7,2,4.1,18,1.4,11.8,4.4,,,93,1.6,119,261,100,171,,,12,,9.1,,,
"Légumineuses, noix et graines","Grenoble, séchées",60mL,25,166,694,4,3,1,1.7,17,1.6,2.3,12.0,,,25,0.7,1,112,40,88,,,25,,0.2,,,
"Légumineuses, noix et graines","Macadamia, rôties, salées",60mL,34,243,1017,3,4,1,2.7,26,4.1,20.1,0.5,,,24,0.9,90,123,40,67,,,3,,0.2,,,
"Légumineuses, noix et graines","Noisettes ou avelines, séchées",60mL,34,215,899,5,6,1,3.3,21,1.5,15.6,2.7,,,39,1.6,0,233,56,99,,,39,,5.2,,,
"Légumineuses, noix et graines","Noix d'acajou, rôties, salées",60mL,35,199,834,5,11,2,1.0,16,3.2,9.5,2.7,,,16,2.1,222,196,90,170,,,24,,0.3,,,
"Légumineuses, noix et graines","Noix de Brésil, séchées",60mL,36,233,974,5,4,1,2.7,24,5.4,8.7,7.3,,,57,0.9,1,234,133,257,,,8,,2.0,,,
"Légumineuses, noix et graines","Noix mélangées, rôties",60mL,35,206,863,6,9,N/D,3.1,18,2.4,10.9,3.7,,,24,1.3,4,207,78,151,,,17,,N/D,,,
"Légumineuses, noix et graines","Noix mélangées, rôties dans l'huile, salées",60mL,36,222,929,6,8,2,3.2,20,3.1,11.4,4.8,,,39,1.2,151,209,85,167,,,30,,2.6,,,
